DATE,CTPOP
1900-01-01,910.000
1901-01-01,931.000
1902-01-01,952.000
1903-01-01,972.000
1904-01-01,987.000
1905-01-01,1010.000
1906-01-01,1033.000
1907-01-01,1057.000
1908-01-01,1077.000
1909-01-01,1097.000
1910-01-01,1122.000
1911-01-01,1149.000
1912-01-01,1176.000
1913-01-01,1208.000
1914-01-01,1233.000
1915-01-01,1258.000
1916-01-01,1294.000
1917-01-01,1327.000
1918-01-01,1329.000
1919-01-01,1359.000
1920-01-01,1391.000
1921-01-01,1415.000
1922-01-01,1431.000
1923-01-01,1455.000
1924-01-01,1481.000
1925-01-01,1506.000
1926-01-01,1531.000
1927-01-01,1557.000
1928-01-01,1577.000
1929-01-01,1594.000
1930-01-01,1613.000
1931-01-01,1628.000
1932-01-01,1637.000
1933-01-01,1642.000
1934-01-01,1650.000
1935-01-01,1666.000
1936-01-01,1672.000
1937-01-01,1678.000
1938-01-01,1684.000
1939-01-01,1696.000
1940-01-01,1708.000
1941-01-01,1746.000
1942-01-01,1792.000
1943-01-01,1792.000
1944-01-01,1778.000
1945-01-01,1769.000
1946-01-01,1906.000
1947-01-01,1967.000
1948-01-01,2014.000
1949-01-01,2032.000
1950-01-01,2016.000
1951-01-01,2028.000
1952-01-01,2081.000
1953-01-01,2168.000
1954-01-01,2249.000
1955-01-01,2300.000
1956-01-01,2316.000
1957-01-01,2359.000
1958-01-01,2446.000
1959-01-01,2523.000
1960-01-01,2544.000
1961-01-01,2586.000
1962-01-01,2647.000
1963-01-01,2727.000
1964-01-01,2798.000
1965-01-01,2857.000
1966-01-01,2903.000
1967-01-01,2935.000
1968-01-01,2964.000
1969-01-01,3000.000
1970-01-01,3032.217
1971-01-01,3060.938
1972-01-01,3068.699
1973-01-01,3067.814
1974-01-01,3074.047
1975-01-01,3082.500
1976-01-01,3083.335
1977-01-01,3085.722
1978-01-01,3091.627
1979-01-01,3095.917
1980-01-01,3113.174
1981-01-01,3128.836
1982-01-01,3139.013
1983-01-01,3162.354
1984-01-01,3180.014
1985-01-01,3201.131
1986-01-01,3223.740
1987-01-01,3247.291
1988-01-01,3271.953
1989-01-01,3283.403
1990-01-01,3289.056
1991-01-01,3288.640
1992-01-01,3274.997
1993-01-01,3272.325
1994-01-01,3268.346
1995-01-01,3265.293
1996-01-01,3267.030
1997-01-01,3268.514
1998-01-01,3272.563
1999-01-01,3282.031
2000-01-01,3411.777
2001-01-01,3432.835
2002-01-01,3458.749
2003-01-01,3484.336
2004-01-01,3496.094
2005-01-01,3506.956
2006-01-01,3517.460
2007-01-01,3527.270
2008-01-01,3545.579
2009-01-01,3561.807
2010-01-01,3579.125
2011-01-01,3588.023
2012-01-01,3594.395
2013-01-01,3594.915
2014-01-01,3594.783
2015-01-01,3587.509
2016-01-01,3578.674
2017-01-01,3573.88
2018-01-01,3572.665
