DATE,INPOP
1900-01-01,2518.000
1901-01-01,2541.000
1902-01-01,2567.000
1903-01-01,2594.000
1904-01-01,2614.000
1905-01-01,2635.000
1906-01-01,2663.000
1907-01-01,2679.000
1908-01-01,2677.000
1909-01-01,2678.000
1910-01-01,2713.000
1911-01-01,2751.000
1912-01-01,2785.000
1913-01-01,2824.000
1914-01-01,2857.000
1915-01-01,2873.000
1916-01-01,2897.000
1917-01-01,2910.000
1918-01-01,2880.000
1919-01-01,2906.000
1920-01-01,2947.000
1921-01-01,2976.000
1922-01-01,2965.000
1923-01-01,3042.000
1924-01-01,3086.000
1925-01-01,3119.000
1926-01-01,3148.000
1927-01-01,3191.000
1928-01-01,3212.000
1929-01-01,3226.000
1930-01-01,3242.000
1931-01-01,3257.000
1932-01-01,3281.000
1933-01-01,3304.000
1934-01-01,3319.000
1935-01-01,3332.000
1936-01-01,3348.000
1937-01-01,3374.000
1938-01-01,3386.000
1939-01-01,3403.000
1940-01-01,3433.000
1941-01-01,3483.000
1942-01-01,3507.000
1943-01-01,3449.000
1944-01-01,3440.000
1945-01-01,3427.000
1946-01-01,3702.000
1947-01-01,3779.000
1948-01-01,3877.000
1949-01-01,3958.000
1950-01-01,3967.000
1951-01-01,4096.000
1952-01-01,4148.000
1953-01-01,4182.000
1954-01-01,4264.000
1955-01-01,4363.000
1956-01-01,4458.000
1957-01-01,4529.000
1958-01-01,4583.000
1959-01-01,4613.000
1960-01-01,4674.000
1961-01-01,4730.000
1962-01-01,4736.000
1963-01-01,4799.000
1964-01-01,4856.000
1965-01-01,4922.000
1966-01-01,4999.000
1967-01-01,5053.000
1968-01-01,5093.000
1969-01-01,5143.000
1970-01-01,5195.392
1971-01-01,5253.396
1972-01-01,5302.435
1973-01-01,5338.277
1974-01-01,5361.890
1975-01-01,5365.766
1976-01-01,5389.088
1977-01-01,5425.638
1978-01-01,5470.214
1979-01-01,5501.174
1980-01-01,5490.721
1981-01-01,5480.435
1982-01-01,5467.922
1983-01-01,5450.395
1984-01-01,5458.322
1985-01-01,5459.211
1986-01-01,5454.108
1987-01-01,5473.012
1988-01-01,5491.735
1989-01-01,5523.693
1990-01-01,5555.097
1991-01-01,5602.062
1992-01-01,5648.649
1993-01-01,5701.965
1994-01-01,5745.626
1995-01-01,5791.819
1996-01-01,5834.908
1997-01-01,5872.370
1998-01-01,5907.617
1999-01-01,5942.901
2000-01-01,6091.866
2001-01-01,6127.760
2002-01-01,6155.967
2003-01-01,6196.638
2004-01-01,6233.007
2005-01-01,6278.616
2006-01-01,6332.669
2007-01-01,6379.599
2008-01-01,6424.806
2009-01-01,6459.325
2010-01-01,6490.436
2011-01-01,6516.045
2012-01-01,6537.64
2013-01-01,6568.367
2014-01-01,6593.533
2015-01-01,6608.296
2016-01-01,6633.344
2017-01-01,6660.082
2018-01-01,6691.878
