DATE,LAPOP
1900-01-01,1384.000
1901-01-01,1412.000
1902-01-01,1440.000
1903-01-01,1467.000
1904-01-01,1495.000
1905-01-01,1523.000
1906-01-01,1551.000
1907-01-01,1579.000
1908-01-01,1607.000
1909-01-01,1634.000
1910-01-01,1667.000
1911-01-01,1695.000
1912-01-01,1709.000
1913-01-01,1727.000
1914-01-01,1740.000
1915-01-01,1755.000
1916-01-01,1799.000
1917-01-01,1795.000
1918-01-01,1746.000
1919-01-01,1756.000
1920-01-01,1813.000
1921-01-01,1847.000
1922-01-01,1871.000
1923-01-01,1903.000
1924-01-01,1939.000
1925-01-01,1972.000
1926-01-01,2005.000
1927-01-01,2039.000
1928-01-01,2064.000
1929-01-01,2086.000
1930-01-01,2105.000
1931-01-01,2124.000
1932-01-01,2155.000
1933-01-01,2178.000
1934-01-01,2202.000
1935-01-01,2228.000
1936-01-01,2246.000
1937-01-01,2257.000
1938-01-01,2285.000
1939-01-01,2334.000
1940-01-01,2370.000
1941-01-01,2484.000
1942-01-01,2546.000
1943-01-01,2565.000
1944-01-01,2508.000
1945-01-01,2429.000
1946-01-01,2556.000
1947-01-01,2579.000
1948-01-01,2596.000
1949-01-01,2634.000
1950-01-01,2697.000
1951-01-01,2769.000
1952-01-01,2842.000
1953-01-01,2866.000
1954-01-01,2883.000
1955-01-01,2946.000
1956-01-01,3032.000
1957-01-01,3115.000
1958-01-01,3155.000
1959-01-01,3208.000
1960-01-01,3260.000
1961-01-01,3287.000
1962-01-01,3345.000
1963-01-01,3377.000
1964-01-01,3446.000
1965-01-01,3496.000
1966-01-01,3550.000
1967-01-01,3581.000
1968-01-01,3603.000
1969-01-01,3619.000
1970-01-01,3644.637
1971-01-01,3710.487
1972-01-01,3761.646
1973-01-01,3788.375
1974-01-01,3820.109
1975-01-01,3886.104
1976-01-01,3950.605
1977-01-01,4014.459
1978-01-01,4068.579
1979-01-01,4137.665
1980-01-01,4223.101
1981-01-01,4283.303
1982-01-01,4352.608
1983-01-01,4395.316
1984-01-01,4400.477
1985-01-01,4408.118
1986-01-01,4406.919
1987-01-01,4344.148
1988-01-01,4288.863
1989-01-01,4252.894
1990-01-01,4219.179
1991-01-01,4240.950
1992-01-01,4270.849
1993-01-01,4284.749
1994-01-01,4306.500
1995-01-01,4327.978
1996-01-01,4338.763
1997-01-01,4351.390
1998-01-01,4362.758
1999-01-01,4372.035
2000-01-01,4471.885
2001-01-01,4477.875
2002-01-01,4497.267
2003-01-01,4521.042
2004-01-01,4552.238
2005-01-01,4576.628
2006-01-01,4302.665
2007-01-01,4375.581
2008-01-01,4435.586
2009-01-01,4491.648
2010-01-01,4544.532
2011-01-01,4575.184
2012-01-01,4600.814
2013-01-01,4624.577
2014-01-01,4644.204
2015-01-01,4664.851
2016-01-01,4678.215
2017-01-01,4670.818
2018-01-01,4659.978
