DATE,MDPOP
1900-01-01,1189.000
1901-01-01,1200.000
1902-01-01,1210.000
1903-01-01,1209.000
1904-01-01,1217.000
1905-01-01,1237.000
1906-01-01,1251.000
1907-01-01,1257.000
1908-01-01,1269.000
1909-01-01,1289.000
1910-01-01,1302.000
1911-01-01,1324.000
1912-01-01,1345.000
1913-01-01,1368.000
1914-01-01,1389.000
1915-01-01,1401.000
1916-01-01,1415.000
1917-01-01,1428.000
1918-01-01,1467.000
1919-01-01,1445.000
1920-01-01,1464.000
1921-01-01,1492.000
1922-01-01,1509.000
1923-01-01,1521.000
1924-01-01,1537.000
1925-01-01,1556.000
1926-01-01,1576.000
1927-01-01,1599.000
1928-01-01,1610.000
1929-01-01,1621.000
1930-01-01,1636.000
1931-01-01,1657.000
1932-01-01,1678.000
1933-01-01,1694.000
1934-01-01,1710.000
1935-01-01,1729.000
1936-01-01,1745.000
1937-01-01,1754.000
1938-01-01,1766.000
1939-01-01,1793.000
1940-01-01,1839.000
1941-01-01,1913.000
1942-01-01,1998.000
1943-01-01,2089.000
1944-01-01,2118.000
1945-01-01,2096.000
1946-01-01,2214.000
1947-01-01,2248.000
1948-01-01,2271.000
1949-01-01,2329.000
1950-01-01,2355.000
1951-01-01,2441.000
1952-01-01,2500.000
1953-01-01,2567.000
1954-01-01,2685.000
1955-01-01,2742.000
1956-01-01,2811.000
1957-01-01,2873.000
1958-01-01,2982.000
1959-01-01,3066.000
1960-01-01,3113.000
1961-01-01,3176.000
1962-01-01,3263.000
1963-01-01,3386.000
1964-01-01,3492.000
1965-01-01,3600.000
1966-01-01,3695.000
1967-01-01,3757.000
1968-01-01,3815.000
1969-01-01,3868.000
1970-01-01,3923.897
1971-01-01,4018.324
1972-01-01,4073.499
1973-01-01,4097.974
1974-01-01,4118.815
1975-01-01,4139.096
1976-01-01,4150.539
1977-01-01,4169.595
1978-01-01,4183.603
1979-01-01,4191.160
1980-01-01,4227.643
1981-01-01,4261.905
1982-01-01,4282.923
1983-01-01,4313.327
1984-01-01,4365.243
1985-01-01,4413.071
1986-01-01,4486.957
1987-01-01,4565.557
1988-01-01,4657.904
1989-01-01,4727.301
1990-01-01,4797.431
1991-01-01,4856.176
1992-01-01,4902.545
1993-01-01,4942.504
1994-01-01,4985.411
1995-01-01,5023.650
1996-01-01,5057.142
1997-01-01,5092.914
1998-01-01,5130.072
1999-01-01,5171.634
2000-01-01,5311.034
2001-01-01,5374.691
2002-01-01,5440.389
2003-01-01,5496.269
2004-01-01,5546.935
2005-01-01,5592.379
2006-01-01,5627.367
2007-01-01,5653.408
2008-01-01,5684.965
2009-01-01,5730.388
2010-01-01,5788.642
2011-01-01,5838.991
2012-01-01,5887.072
2013-01-01,5923.704
2014-01-01,5958.165
2015-01-01,5986.717
2016-01-01,6004.692
2017-01-01,6024.891
2018-01-01,6042.718
