DATE,MEPOP
1900-01-01,695.000
1901-01-01,699.000
1902-01-01,703.000
1903-01-01,709.000
1904-01-01,719.000
1905-01-01,723.000
1906-01-01,729.000
1907-01-01,731.000
1908-01-01,735.000
1909-01-01,740.000
1910-01-01,745.000
1911-01-01,751.000
1912-01-01,753.000
1913-01-01,763.000
1914-01-01,772.000
1915-01-01,774.000
1916-01-01,775.000
1917-01-01,777.000
1918-01-01,760.000
1919-01-01,762.000
1920-01-01,771.000
1921-01-01,775.000
1922-01-01,778.000
1923-01-01,781.000
1924-01-01,788.000
1925-01-01,792.000
1926-01-01,793.000
1927-01-01,796.000
1928-01-01,797.000
1929-01-01,797.000
1930-01-01,800.000
1931-01-01,807.000
1932-01-01,815.000
1933-01-01,821.000
1934-01-01,829.000
1935-01-01,836.000
1936-01-01,840.000
1937-01-01,842.000
1938-01-01,843.000
1939-01-01,846.000
1940-01-01,849.000
1941-01-01,852.000
1942-01-01,839.000
1943-01-01,806.000
1944-01-01,801.000
1945-01-01,800.000
1946-01-01,832.000
1947-01-01,854.000
1948-01-01,878.000
1949-01-01,903.000
1950-01-01,917.000
1951-01-01,916.000
1952-01-01,915.000
1953-01-01,913.000
1954-01-01,927.000
1955-01-01,934.000
1956-01-01,938.000
1957-01-01,943.000
1958-01-01,944.000
1959-01-01,957.000
1960-01-01,975.000
1961-01-01,995.000
1962-01-01,994.000
1963-01-01,993.000
1964-01-01,993.000
1965-01-01,997.000
1966-01-01,999.000
1967-01-01,1004.000
1968-01-01,994.000
1969-01-01,992.000
1970-01-01,993.722
1971-01-01,1015.390
1972-01-01,1034.292
1973-01-01,1045.655
1974-01-01,1059.040
1975-01-01,1071.995
1976-01-01,1088.412
1977-01-01,1103.578
1978-01-01,1113.566
1979-01-01,1122.563
1980-01-01,1126.860
1981-01-01,1133.033
1982-01-01,1136.684
1983-01-01,1144.772
1984-01-01,1155.635
1985-01-01,1162.936
1986-01-01,1170.126
1987-01-01,1184.574
1988-01-01,1203.840
1989-01-01,1219.961
1990-01-01,1231.296
1991-01-01,1235.439
1992-01-01,1235.748
1993-01-01,1238.256
1994-01-01,1237.687
1995-01-01,1237.438
1996-01-01,1241.436
1997-01-01,1245.215
1998-01-01,1247.554
1999-01-01,1253.040
2000-01-01,1277.072
2001-01-01,1285.692
2002-01-01,1295.960
2003-01-01,1306.513
2004-01-01,1313.688
2005-01-01,1318.787
2006-01-01,1323.619
2007-01-01,1327.040
2008-01-01,1330.509
2009-01-01,1329.590
2010-01-01,1327.632
2011-01-01,1328.15
2012-01-01,1327.691
2013-01-01,1328.196
2014-01-01,1330.76
2015-01-01,1328.484
2016-01-01,1331.37
2017-01-01,1335.063
2018-01-01,1338.404
