DATE,MIPOP
1900-01-01,2423.000
1901-01-01,2450.000
1902-01-01,2477.000
1903-01-01,2505.000
1904-01-01,2534.000
1905-01-01,2579.000
1906-01-01,2626.000
1907-01-01,2693.000
1908-01-01,2722.000
1909-01-01,2771.000
1910-01-01,2832.000
1911-01-01,2916.000
1912-01-01,2997.000
1913-01-01,3101.000
1914-01-01,3183.000
1915-01-01,3263.000
1916-01-01,3353.000
1917-01-01,3451.000
1918-01-01,3499.000
1919-01-01,3591.000
1920-01-01,3723.000
1921-01-01,3872.000
1922-01-01,3942.000
1923-01-01,4063.000
1924-01-01,4214.000
1925-01-01,4331.000
1926-01-01,4451.000
1927-01-01,4589.000
1928-01-01,4665.000
1929-01-01,4795.000
1930-01-01,4834.000
1931-01-01,4798.000
1932-01-01,4780.000
1933-01-01,4780.000
1934-01-01,4798.000
1935-01-01,4838.000
1936-01-01,4889.000
1937-01-01,4968.000
1938-01-01,5056.000
1939-01-01,5156.000
1940-01-01,5315.000
1941-01-01,5472.000
1942-01-01,5549.000
1943-01-01,5405.000
1944-01-01,5467.000
1945-01-01,5475.000
1946-01-01,5874.000
1947-01-01,6076.000
1948-01-01,6213.000
1949-01-01,6332.000
1950-01-01,6407.000
1951-01-01,6497.000
1952-01-01,6650.000
1953-01-01,6822.000
1954-01-01,7066.000
1955-01-01,7285.000
1956-01-01,7467.000
1957-01-01,7569.000
1958-01-01,7667.000
1959-01-01,7767.000
1960-01-01,7834.000
1961-01-01,7893.000
1962-01-01,7933.000
1963-01-01,8058.000
1964-01-01,8187.000
1965-01-01,8357.000
1966-01-01,8512.000
1967-01-01,8630.000
1968-01-01,8696.000
1969-01-01,8781.000
1970-01-01,8881.826
1971-01-01,8974.186
1972-01-01,9028.944
1973-01-01,9077.956
1974-01-01,9117.507
1975-01-01,9117.668
1976-01-01,9129.205
1977-01-01,9171.110
1978-01-01,9217.761
1979-01-01,9266.268
1980-01-01,9255.553
1981-01-01,9209.287
1982-01-01,9115.198
1983-01-01,9047.754
1984-01-01,9049.452
1985-01-01,9076.293
1986-01-01,9127.775
1987-01-01,9187.481
1988-01-01,9217.998
1989-01-01,9253.295
1990-01-01,9310.462
1991-01-01,9395.022
1992-01-01,9470.323
1993-01-01,9529.240
1994-01-01,9584.481
1995-01-01,9659.871
1996-01-01,9739.184
1997-01-01,9785.450
1998-01-01,9820.231
1999-01-01,9863.775
2000-01-01,9952.450
2001-01-01,9991.120
2002-01-01,10015.710
2003-01-01,10041.152
2004-01-01,10055.315
2005-01-01,10051.137
2006-01-01,10036.081
2007-01-01,10001.284
2008-01-01,9946.889
2009-01-01,9901.591
2010-01-01,9877.535
2011-01-01,9881.521
2012-01-01,9896.93
2013-01-01,9913.349
2014-01-01,9930.589
2015-01-01,9932.573
2016-01-01,9951.89
2017-01-01,9976.447
2018-01-01,9995.915
