DATE,MNPOP
1900-01-01,1754.000
1901-01-01,1805.000
1902-01-01,1862.000
1903-01-01,1901.000
1904-01-01,1945.000
1905-01-01,1981.000
1906-01-01,1987.000
1907-01-01,1995.000
1908-01-01,2020.000
1909-01-01,2051.000
1910-01-01,2086.000
1911-01-01,2119.000
1912-01-01,2147.000
1913-01-01,2190.000
1914-01-01,2234.000
1915-01-01,2273.000
1916-01-01,2308.000
1917-01-01,2329.000
1918-01-01,2291.000
1919-01-01,2346.000
1920-01-01,2403.000
1921-01-01,2434.000
1922-01-01,2451.000
1923-01-01,2487.000
1924-01-01,2521.000
1925-01-01,2540.000
1926-01-01,2560.000
1927-01-01,2588.000
1928-01-01,2592.000
1929-01-01,2572.000
1930-01-01,2576.000
1931-01-01,2614.000
1932-01-01,2646.000
1933-01-01,2673.000
1934-01-01,2695.000
1935-01-01,2717.000
1936-01-01,2734.000
1937-01-01,2746.000
1938-01-01,2753.000
1939-01-01,2771.000
1940-01-01,2790.000
1941-01-01,2718.000
1942-01-01,2662.000
1943-01-01,2577.000
1944-01-01,2526.000
1945-01-01,2537.000
1946-01-01,2734.000
1947-01-01,2796.000
1948-01-01,2868.000
1949-01-01,2935.000
1950-01-01,2997.000
1951-01-01,3010.000
1952-01-01,3030.000
1953-01-01,3050.000
1954-01-01,3113.000
1955-01-01,3172.000
1956-01-01,3240.000
1957-01-01,3274.000
1958-01-01,3313.000
1959-01-01,3366.000
1960-01-01,3425.000
1961-01-01,3470.000
1962-01-01,3513.000
1963-01-01,3531.000
1964-01-01,3558.000
1965-01-01,3592.000
1966-01-01,3617.000
1967-01-01,3659.000
1968-01-01,3703.000
1969-01-01,3758.000
1970-01-01,3806.103
1971-01-01,3853.486
1972-01-01,3869.747
1973-01-01,3889.332
1974-01-01,3903.925
1975-01-01,3932.515
1976-01-01,3964.680
1977-01-01,3989.364
1978-01-01,4015.341
1979-01-01,4050.316
1980-01-01,4085.017
1981-01-01,4111.728
1982-01-01,4131.450
1983-01-01,4141.456
1984-01-01,4157.706
1985-01-01,4184.302
1986-01-01,4205.212
1987-01-01,4235.136
1988-01-01,4296.166
1989-01-01,4338.057
1990-01-01,4387.283
1991-01-01,4427.429
1992-01-01,4471.503
1993-01-01,4521.709
1994-01-01,4566.028
1995-01-01,4605.445
1996-01-01,4647.723
1997-01-01,4687.726
1998-01-01,4726.411
1999-01-01,4775.508
2000-01-01,4933.692
2001-01-01,4982.796
2002-01-01,5018.935
2003-01-01,5053.572
2004-01-01,5087.713
2005-01-01,5119.598
2006-01-01,5163.555
2007-01-01,5207.203
2008-01-01,5247.018
2009-01-01,5281.203
2010-01-01,5310.843
2011-01-01,5345.668
2012-01-01,5376.55
2013-01-01,5413.693
2014-01-01,5451.522
2015-01-01,5482.503
2016-01-01,5523.409
2017-01-01,5568.155
2018-01-01,5611.179
