DATE,NEPOP
1900-01-01,1067.000
1901-01-01,1078.000
1902-01-01,1089.000
1903-01-01,1104.000
1904-01-01,1119.000
1905-01-01,1129.000
1906-01-01,1138.000
1907-01-01,1149.000
1908-01-01,1161.000
1909-01-01,1177.000
1910-01-01,1198.000
1911-01-01,1216.000
1912-01-01,1232.000
1913-01-01,1246.000
1914-01-01,1264.000
1915-01-01,1272.000
1916-01-01,1275.000
1917-01-01,1285.000
1918-01-01,1266.000
1919-01-01,1290.000
1920-01-01,1300.000
1921-01-01,1309.000
1922-01-01,1312.000
1923-01-01,1321.000
1924-01-01,1333.000
1925-01-01,1343.000
1926-01-01,1353.000
1927-01-01,1365.000
1928-01-01,1371.000
1929-01-01,1375.000
1930-01-01,1380.000
1931-01-01,1384.000
1932-01-01,1386.000
1933-01-01,1385.000
1934-01-01,1382.000
1935-01-01,1375.000
1936-01-01,1358.000
1937-01-01,1339.000
1938-01-01,1326.000
1939-01-01,1318.000
1940-01-01,1316.000
1941-01-01,1272.000
1942-01-01,1239.000
1943-01-01,1241.000
1944-01-01,1216.000
1945-01-01,1211.000
1946-01-01,1256.000
1947-01-01,1265.000
1948-01-01,1265.000
1949-01-01,1302.000
1950-01-01,1327.000
1951-01-01,1316.000
1952-01-01,1311.000
1953-01-01,1318.000
1954-01-01,1340.000
1955-01-01,1374.000
1956-01-01,1397.000
1957-01-01,1394.000
1958-01-01,1383.000
1959-01-01,1397.000
1960-01-01,1417.000
1961-01-01,1446.000
1962-01-01,1464.000
1963-01-01,1476.000
1964-01-01,1482.000
1965-01-01,1471.000
1966-01-01,1456.000
1967-01-01,1457.000
1968-01-01,1467.000
1969-01-01,1474.000
1970-01-01,1485.333
1971-01-01,1504.604
1972-01-01,1519.013
1973-01-01,1529.567
1974-01-01,1539.191
1975-01-01,1543.117
1976-01-01,1550.911
1977-01-01,1556.842
1978-01-01,1563.884
1979-01-01,1567.344
1980-01-01,1572.296
1981-01-01,1578.515
1982-01-01,1581.780
1983-01-01,1584.293
1984-01-01,1588.639
1985-01-01,1584.664
1986-01-01,1574.333
1987-01-01,1566.547
1988-01-01,1571.477
1989-01-01,1574.864
1990-01-01,1580.664
1991-01-01,1590.805
1992-01-01,1602.406
1993-01-01,1612.149
1994-01-01,1621.551
1995-01-01,1635.142
1996-01-01,1647.657
1997-01-01,1656.042
1998-01-01,1660.772
1999-01-01,1666.028
2000-01-01,1713.820
2001-01-01,1719.836
2002-01-01,1728.292
2003-01-01,1738.643
2004-01-01,1749.370
2005-01-01,1761.497
2006-01-01,1772.693
2007-01-01,1783.440
2008-01-01,1796.378
2009-01-01,1812.683
2010-01-01,1829.536
2011-01-01,1840.538
2012-01-01,1853.323
2013-01-01,1865.414
2014-01-01,1879.522
2015-01-01,1891.507
2016-01-01,1905.924
2017-01-01,1917.575
2018-01-01,1929.268
