DATE,OHPOP
1900-01-01,4161.000
1901-01-01,4216.000
1902-01-01,4322.000
1903-01-01,4386.000
1904-01-01,4458.000
1905-01-01,4530.000
1906-01-01,4587.000
1907-01-01,4630.000
1908-01-01,4677.000
1909-01-01,4701.000
1910-01-01,4786.000
1911-01-01,4821.000
1912-01-01,4893.000
1913-01-01,4997.000
1914-01-01,5109.000
1915-01-01,5251.000
1916-01-01,5366.000
1917-01-01,5510.000
1918-01-01,5547.000
1919-01-01,5683.000
1920-01-01,5799.000
1921-01-01,5921.000
1922-01-01,6054.000
1923-01-01,6183.000
1924-01-01,6319.000
1925-01-01,6434.000
1926-01-01,6504.000
1927-01-01,6577.000
1928-01-01,6608.000
1929-01-01,6626.000
1930-01-01,6662.000
1931-01-01,6694.000
1932-01-01,6717.000
1933-01-01,6740.000
1934-01-01,6751.000
1935-01-01,6787.000
1936-01-01,6801.000
1937-01-01,6809.000
1938-01-01,6837.000
1939-01-01,6886.000
1940-01-01,6929.000
1941-01-01,6958.000
1942-01-01,6969.000
1943-01-01,6868.000
1944-01-01,6918.000
1945-01-01,6916.000
1946-01-01,7512.000
1947-01-01,7705.000
1948-01-01,7876.000
1949-01-01,7973.000
1950-01-01,7980.000
1951-01-01,8061.000
1952-01-01,8275.000
1953-01-01,8591.000
1954-01-01,8873.000
1955-01-01,9017.000
1956-01-01,9207.000
1957-01-01,9410.000
1958-01-01,9599.000
1959-01-01,9671.000
1960-01-01,9734.000
1961-01-01,9854.000
1962-01-01,9929.000
1963-01-01,9986.000
1964-01-01,10080.000
1965-01-01,10201.000
1966-01-01,10330.000
1967-01-01,10414.000
1968-01-01,10516.000
1969-01-01,10563.000
1970-01-01,10657.423
1971-01-01,10734.818
1972-01-01,10746.993
1973-01-01,10767.314
1974-01-01,10765.759
1975-01-01,10770.425
1976-01-01,10752.662
1977-01-01,10771.394
1978-01-01,10795.581
1979-01-01,10798.298
1980-01-01,10800.650
1981-01-01,10788.330
1982-01-01,10757.087
1983-01-01,10737.632
1984-01-01,10737.746
1985-01-01,10734.926
1986-01-01,10730.268
1987-01-01,10760.090
1988-01-01,10798.552
1989-01-01,10829.217
1990-01-01,10861.837
1991-01-01,10933.683
1992-01-01,11007.609
1993-01-01,11070.385
1994-01-01,11111.451
1995-01-01,11155.493
1996-01-01,11187.032
1997-01-01,11212.498
1998-01-01,11237.752
1999-01-01,11256.654
2000-01-01,11363.543
2001-01-01,11387.404
2002-01-01,11407.889
2003-01-01,11434.788
2004-01-01,11452.251
2005-01-01,11463.320
2006-01-01,11481.213
2007-01-01,11500.468
2008-01-01,11515.391
2009-01-01,11528.896
2010-01-01,11539.327
2011-01-01,11543.463
2012-01-01,11548.369
2013-01-01,11576.576
2014-01-01,11602.973
2015-01-01,11617.85
2016-01-01,11635.003
2017-01-01,11664.129
2018-01-01,11689.442
