DATE,VTPOP
1900-01-01,344.000
1901-01-01,347.000
1902-01-01,349.000
1903-01-01,350.000
1904-01-01,353.000
1905-01-01,354.000
1906-01-01,355.000
1907-01-01,355.000
1908-01-01,354.000
1909-01-01,356.000
1910-01-01,357.000
1911-01-01,358.000
1912-01-01,359.000
1913-01-01,361.000
1914-01-01,362.000
1915-01-01,360.000
1916-01-01,360.000
1917-01-01,372.000
1918-01-01,352.000
1919-01-01,352.000
1920-01-01,353.000
1921-01-01,355.000
1922-01-01,354.000
1923-01-01,354.000
1924-01-01,355.000
1925-01-01,355.000
1926-01-01,356.000
1927-01-01,357.000
1928-01-01,358.000
1929-01-01,359.000
1930-01-01,360.000
1931-01-01,359.000
1932-01-01,358.000
1933-01-01,357.000
1934-01-01,357.000
1935-01-01,357.000
1936-01-01,357.000
1937-01-01,356.000
1938-01-01,356.000
1939-01-01,358.000
1940-01-01,363.000
1941-01-01,348.000
1942-01-01,343.000
1943-01-01,327.000
1944-01-01,314.000
1945-01-01,315.000
1946-01-01,342.000
1947-01-01,354.000
1948-01-01,359.000
1949-01-01,369.000
1950-01-01,379.000
1951-01-01,378.000
1952-01-01,375.000
1953-01-01,379.000
1954-01-01,377.000
1955-01-01,375.000
1956-01-01,377.000
1957-01-01,376.000
1958-01-01,380.000
1959-01-01,387.000
1960-01-01,389.000
1961-01-01,390.000
1962-01-01,393.000
1963-01-01,397.000
1964-01-01,399.000
1965-01-01,404.000
1966-01-01,413.000
1967-01-01,423.000
1968-01-01,430.000
1969-01-01,437.000
1970-01-01,444.732
1971-01-01,454.318
1972-01-01,463.143
1973-01-01,468.430
1974-01-01,473.002
1975-01-01,479.713
1976-01-01,484.928
1977-01-01,491.931
1978-01-01,498.109
1979-01-01,505.372
1980-01-01,512.524
1981-01-01,515.594
1982-01-01,519.109
1983-01-01,523.302
1984-01-01,526.660
1985-01-01,530.035
1986-01-01,534.066
1987-01-01,540.267
1988-01-01,549.763
1989-01-01,557.707
1990-01-01,564.526
1991-01-01,567.141
1992-01-01,570.115
1993-01-01,574.004
1994-01-01,578.900
1995-01-01,582.827
1996-01-01,586.352
1997-01-01,588.665
1998-01-01,590.579
1999-01-01,593.740
2000-01-01,609.618
2001-01-01,612.223
2002-01-01,615.442
2003-01-01,617.858
2004-01-01,619.920
2005-01-01,621.215
2006-01-01,622.892
2007-01-01,623.481
2008-01-01,624.151
2009-01-01,624.817
2010-01-01,625.88
2011-01-01,626.979
2012-01-01,626.063
2013-01-01,626.212
2014-01-01,625.218
2015-01-01,625.197
2016-01-01,623.644
2017-01-01,624.525
2018-01-01,626.299
