DATE,WIPOP
1900-01-01,2072.000
1901-01-01,2109.000
1902-01-01,2141.000
1903-01-01,2171.000
1904-01-01,2202.000
1905-01-01,2231.000
1906-01-01,2250.000
1907-01-01,2268.000
1908-01-01,2292.000
1909-01-01,2317.000
1910-01-01,2345.000
1911-01-01,2369.000
1912-01-01,2407.000
1913-01-01,2438.000
1914-01-01,2490.000
1915-01-01,2535.000
1916-01-01,2562.000
1917-01-01,2587.000
1918-01-01,2597.000
1919-01-01,2600.000
1920-01-01,2679.000
1921-01-01,2722.000
1922-01-01,2761.000
1923-01-01,2803.000
1924-01-01,2833.000
1925-01-01,2863.000
1926-01-01,2892.000
1927-01-01,2916.000
1928-01-01,2923.000
1929-01-01,2934.000
1930-01-01,2950.000
1931-01-01,2990.000
1932-01-01,3021.000
1933-01-01,3040.000
1934-01-01,3054.000
1935-01-01,3070.000
1936-01-01,3082.000
1937-01-01,3088.000
1938-01-01,3098.000
1939-01-01,3121.000
1940-01-01,3143.000
1941-01-01,3140.000
1942-01-01,3053.000
1943-01-01,3014.000
1944-01-01,2980.000
1945-01-01,2961.000
1946-01-01,3167.000
1947-01-01,3250.000
1948-01-01,3314.000
1949-01-01,3391.000
1950-01-01,3438.000
1951-01-01,3439.000
1952-01-01,3469.000
1953-01-01,3506.000
1954-01-01,3608.000
1955-01-01,3679.000
1956-01-01,3742.000
1957-01-01,3791.000
1958-01-01,3843.000
1959-01-01,3891.000
1960-01-01,3962.000
1961-01-01,4009.000
1962-01-01,4049.000
1963-01-01,4112.000
1964-01-01,4165.000
1965-01-01,4232.000
1966-01-01,4274.000
1967-01-01,4303.000
1968-01-01,4345.000
1969-01-01,4378.000
1970-01-01,4417.821
1971-01-01,4462.155
1972-01-01,4502.412
1973-01-01,4524.244
1974-01-01,4545.782
1975-01-01,4578.986
1976-01-01,4595.904
1977-01-01,4626.514
1978-01-01,4646.108
1979-01-01,4682.811
1980-01-01,4712.045
1981-01-01,4726.343
1982-01-01,4728.870
1983-01-01,4721.438
1984-01-01,4735.563
1985-01-01,4747.767
1986-01-01,4755.618
1987-01-01,4777.919
1988-01-01,4822.388
1989-01-01,4856.574
1990-01-01,4902.265
1991-01-01,4952.675
1992-01-01,5004.636
1993-01-01,5055.318
1994-01-01,5095.504
1995-01-01,5137.004
1996-01-01,5173.828
1997-01-01,5200.235
1998-01-01,5222.124
1999-01-01,5250.446
2000-01-01,5373.999
2001-01-01,5406.835
2002-01-01,5445.162
2003-01-01,5479.203
2004-01-01,5514.026
2005-01-01,5546.166
2006-01-01,5577.655
2007-01-01,5610.775
2008-01-01,5640.996
2009-01-01,5669.264
2010-01-01,5690.479
2011-01-01,5704.755
2012-01-01,5719.855
2013-01-01,5736.952
2014-01-01,5751.974
2015-01-01,5761.406
2016-01-01,5772.958
2017-01-01,5792.051
2018-01-01,5813.568
